,zona,quartos,area,preco
0,sul,,100,5000
1,sul,1,125,700
2,sul,1,40,1200
3,sul,1,40,700
4,sul,3,80,2300
5,sul,1,60,2500
6,sul,3,300,9000
7,sul,3,120,3200
8,sul,3,262,3500
9,sul,4,395,16000
10,sul,3,130,2800
11,sul,5,487,10000
12,sul,4,384,2400
13,sul,2,100,2000
14,sul,3,180,4200
15,sul,5,764,70000
16,sul,3,300,12000
17,sul,3,300,12000
18,sul,,200,7000
19,sul,1,400,1000
20,sul,1,60,2500
21,sul,2,125,2500
22,sul,10,750,28000
23,sul,1,18,1250
24,sul,3,110,6500
25,sul,2,80,2400
26,sul,4,500,25000
27,sul,,85,4000
28,sul,,185,7000
29,sul,,168,10000
30,sul,3,200,5000
31,sul,5,270,3000
32,sul,1,16,1250
33,sul,,300,25000
34,sul,2,86,2000
35,sul,,,2300
36,sul,4,252,9000
37,sul,,617,45000
38,sul,,735,19500
39,sul,1,23,1250
40,sul,3,183,2100
41,sul,4,230,5000
42,sul,1,15,1250
43,sul,4,1048,20000
44,sul,5,434,50000
45,sul,2,120,5800
46,sul,4,295,12000
47,sul,4,140,13000
0,sul,3,263,4000
1,sul,2,130,2600
2,sul,1,36,550
3,sul,2,65,2000
4,sul,3,175,2600
5,sul,,,2350
6,sul,3,100,2500
7,sul,3,120,2500
8,sul,1,60,1500
9,sul,2,54,1500
10,sul,3,380,4900
11,sul,2,80,1700
12,sul,2,220,1500
13,sul,1,14,1150
14,sul,2,38,1350
15,sul,2,120,1920
16,sul,3,130,1800
17,sul,,139,4000
18,sul,1,110,2700
19,sul,4,350,18000
20,sul,3,155,3200
21,sul,2,71,3500
22,sul,4,678,10000
23,sul,3,160,2700
24,sul,2,115,3500
25,sul,5,266,3900
26,sul,1,48,1200
27,sul,,523,28000
28,sul,3,150,4500
29,sul,,300,15000
30,sul,2,69,2300
31,sul,,45,1500
32,sul,3,113,3000
33,sul,3,188,6000
34,sul,3,210,12000
35,sul,,350,5000
36,sul,,750,30000
37,sul,4,609,9000
38,sul,4,625,20000
39,sul,2,125,3500
40,sul,3,90,2000
41,sul,2,120,1950
42,sul,2,140,4000
43,sul,4,609,9000
44,sul,,450,15000
45,sul,3,104,3800
46,sul,,270,15000
47,sul,2,210,6000
0,sul,3,120,3500
1,sul,3,300,9500
2,sul,2,50,1100
3,sul,1,300,60000
4,sul,,120,7800
5,sul,3,264,6300
6,sul,1,300,60000
7,sul,2,65,1200
8,sul,1,65,2250
9,sul,3,264,6300
10,sul,2,150,3000
11,sul,3,130,2800
12,sul,2,150,3000
13,sul,2,90,2500
14,sul,3,850,62000
15,sul,1,40,800
16,sul,1,32,850
17,sul,,300,13000
18,sul,,100,3000
19,sul,,,600
20,sul,2,280,9500
21,sul,,280,8500
22,sul,2,60,1250
23,sul,2,125,1800
24,sul,2,550,27000
25,sul,1,45,800
26,sul,1,40,700
27,sul,1,60,1200
28,sul,,112,2400
29,sul,4,700,12000
30,sul,1,45,900
31,sul,1,90,1250
32,sul,2,90,2300
33,sul,3,118,3100
34,sul,2,100,1200
35,sul,3,200,33000
36,sul,3,200,33000
37,sul,2,120,2500
38,sul,3,120,1700
39,sul,1,35,600
40,sul,4,199,3000
41,sul,5,1300,42000
42,sul,4,793,11000
43,sul,4,302,18000
44,sul,,350,11000
45,sul,2,160,15000
46,sul,5,1300,43000
47,sul,3,150,3500
0,sul,,430,25000
1,sul,,750,28000
2,sul,5,530,12000
3,sul,,1000,48000
4,sul,4,871,35000
5,sul,5,750,28000
6,sul,4,280,12000
7,sul,5,600,30000
8,sul,4,417,11007
9,sul,5,465,15000
10,sul,5,575,18000
11,sul,4,600,25000
12,sul,5,290,16000
13,sul,4,415,15000
14,sul,3,250,11000
15,sul,4,468,15000
16,sul,,348,15000
17,sul,4,200,12000
18,sul,,350,12000
19,sul,5,572,13000
20,sul,3,400,12000
21,sul,,300,12000
22,sul,4,707,10000
23,sul,,400,20000
24,sul,1,210,15000
25,sul,3,360,11500
26,sul,5,370,12000
27,sul,5,1000,47000
28,sul,,596,35000
29,sul,5,400,15000
30,sul,4,543,20000
31,sul,2,155,3300
32,sul,2,990,80000
33,sul,,281,12000
34,sul,4,464,12000
35,sul,4,296,12000
36,sul,2,210,2700
37,sul,4,363,12000
38,sul,3,360,12000
39,sul,5,900,39000
40,sul,5,900,48000
41,sul,5,434,45000
42,sul,3,445,20000
43,sul,5,900,48000
44,sul,,434,50000
45,sul,4,434,45000
46,sul,,350,14800
47,sul,4,500,13000
0,sul,,171,11000
1,sul,1,60,1100
2,sul,4,945,11000
3,sul,3,112,2500
4,sul,,219,11000
5,sul,4,650,11000
6,sul,,296,15000
7,sul,3,340,10000
8,sul,4,206,5500
9,sul,4,430,15500
10,sul,2,100,1200
11,sul,4,430,30000
12,sul,,140,8000
13,sul,4,300,12600
14,sul,,85,5000
15,sul,,480,20000
16,sul,1,350,13000
17,sul,3,146,2800
18,sul,3,204,7000
19,sul,4,610,12000
20,sul,,354,30000
21,sul,5,600,40000
22,sul,,290,12000
23,sul,3,200,2500
24,sul,1,40,1050
25,sul,2,139,7000
26,sul,4,720,25000
27,sul,,350,12100
28,sul,,229,35150
29,sul,1,369,15000
30,sul,1,250,16000
31,sul,4,181,13000
32,sul,3,360,12000
33,sul,5,550,28000
34,sul,,477,38100
35,sul,4,200,15000
36,sul,4,650,11000
37,sul,,497,44800
38,sul,4,350,20000
39,sul,4,400,15000
40,sul,4,400,10000
41,sul,,1589,100000
42,sul,5,400,12000
43,sul,4,400,12000
44,sul,1,30,680
45,sul,4,450,25000
46,sul,,336,15000
47,sul,1,20,700
0,sul,1,50,600
1,sul,4,210,12000
2,sul,1,45,1190
3,sul,1,40,765
4,sul,1,70,950
5,sul,2,80,1200
6,sul,,179,17100
7,sul,,600,19000
8,sul,,240,12000
9,sul,1,60,1200
10,sul,1,35,950
11,sul,1,70,850
12,sul,,600,150000
13,sul,3,250,4000
14,sul,3,601,80000
15,sul,5,764,65000
16,sul,,550,25000
17,sul,,450,18500
18,sul,5,240,13000
19,sul,3,175,7000
20,sul,2,90,2400
21,sul,,1451,130000
22,sul,,280,14000
23,sul,,100,18000
24,sul,3,90,1100
25,sul,1,30,700
26,sul,3,80,5000
27,sul,3,130,1700
28,sul,,496,50000
29,sul,,171,11000
30,sul,2,60,1300
31,sul,2,120,20000
32,sul,,600,26000
33,sul,,900,39000
34,sul,,160,7000
35,sul,2,140,2500
36,sul,4,130,550000
37,sul,,370,17000
38,sul,,340,18000
39,sul,4,400,11000
40,sul,1,20,1100
41,sul,2,100,1500
42,sul,3,254,16000
43,sul,1,300,15000
44,sul,2,120,12000
45,sul,3,200,12000
46,sul,4,280,12000
47,sul,3,220,10000
0,sul,3,45,1000
1,sul,1,100,450
2,sul,2,70,750
3,sul,1,45,550
4,sul,1,45,600
5,sul,1,50,850
6,sul,3,200,2000
7,sul,1,40,650
8,sul,1,60,500
9,sul,2,60,1000
10,sul,2,100,1100
11,sul,2,70,1800
12,sul,1,100,900
13,sul,1,45,500
14,sul,1,50,530
15,sul,3,80,1500
16,sul,1,21,1200
17,sul,1,30,600
18,sul,1,85,900
19,sul,1,28,1100
20,sul,2,125,900
21,sul,1,80,950
22,sul,1,50,800
23,sul,1,40,850
24,sul,4,495,1300000
25,sul,1,40,600
26,sul,4,125,500
27,sul,4,115,1750
28,sul,1,60,550
29,sul,2,45,1480
30,sul,1,40,800
31,sul,1,35,700
32,sul,2,50,1400
33,sul,1,30,550
34,sul,2,55,1200
35,sul,2,50,1000
36,sul,2,60,2800
37,sul,1,65,770
38,sul,2,75,1400
39,sul,1,50,650
40,sul,1,50,1200
41,sul,2,100,1600
42,sul,1,50,1500
43,sul,1,34,900
44,sul,2,100,1600
45,sul,3,85,2000
46,sul,1,40,700
47,sul,2,45,1600
0,sul,3,85,2600
1,sul,1,35,1550
2,sul,1,50,950
3,sul,2,100,1550
4,sul,1,40,800
5,sul,1,28,1000
6,sul,3,112,2500
7,sul,1,21,1000
8,sul,1,50,800
9,sul,6,75,2800
10,sul,1,25,600
11,sul,1,45,650
12,sul,,160,4000
13,sul,1,100,800
14,sul,2,141,2800
15,sul,5,600,12000
16,sul,4,210,6943
17,sul,4,580,8000
18,sul,2,97,3100
19,sul,4,177,3900
20,sul,,100,2000
21,sul,5,410,30000
22,sul,2,150,3400
23,sul,4,280,5000
24,sul,3,120,3800
25,sul,,1200,70000
26,sul,,518,24000
27,sul,,400,13000
28,sul,,520,50000
29,sul,4,160,3600
30,sul,1,25,900
31,sul,,270,12999
32,sul,,800,24999
33,sul,,400,5800
34,sul,,250,15000
35,sul,2,45,1600
36,sul,,330,7000
37,sul,,196,12000
38,sul,,167,5270
39,sul,4,250,5000
40,sul,2,144,2800
41,sul,2,120,3100
42,sul,,168,12000
43,sul,2,140,2200
44,sul,4,340,12500
45,sul,2,60,1100
46,sul,3,180,8500
47,sul,4,300,7000
0,sul,4,480,5500
1,sul,4,280,13000
2,sul,4,460,35000
3,sul,6,180,7900
4,sul,2,139,4600
5,sul,4,500,15000
6,sul,3,250,16000
7,sul,3,170,10000
8,sul,6,307,28000
9,sul,6,420,19500
10,sul,3,400,9000
11,sul,5,550,8000
12,sul,4,350,10000
13,sul,3,140,7000
14,sul,3,250,8000
15,sul,2,130,3800
16,sul,4,500,15000
17,sul,6,250,18000
