zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,1,0,0,0.6931471805599453,3.713572066704308,6.621405651764134
1,0,0,0,1.0986122886681098,5.198497031265826,7.601402334583733
0,0,0,1,1.3862943611198906,6.2166061010848646,8.699681400989514
0,1,0,0,1.0986122886681098,4.2626798770413155,7.0909098220799835
1,0,0,0,1.0986122886681098,4.189654742026425,7.313886831633462
0,0,0,1,1.3862943611198906,5.484796933490655,8.853808274977197
0,0,1,0,1.6094379124341003,5.942799375126701,9.546884034617925
0,0,0,1,1.0986122886681098,5.351858133476067,8.699681400989514
1,0,0,0,1.3862943611198906,4.795790545596741,8.160803920954665
1,0,0,0,1.0986122886681098,4.454347296253507,7.244941546337007
1,0,0,0,1.0986122886681098,4.110873864173311,7.208600337960199
1,0,0,0,1.3862943611198906,5.537334267018537,8.366602832783736
0,0,0,1,0.6931471805599453,4.110873864173311,7.0909098220799835
0,0,0,1,1.0986122886681098,6.621405651764134,10.239995502805316
0,0,0,1,1.791759469228055,5.673323267171493,9.680406499268875
1,0,0,0,1.3862943611198906,5.351858133476067,7.824445930877619
1,0,0,0,1.6094379124341003,4.875197323201151,7.601402334583733
1,0,0,0,1.6094379124341003,5.303304908059076,7.783640596221253
0,1,0,0,1.0986122886681098,3.713572066704308,6.90875477931522
0,0,1,0,1.3862943611198906,4.2626798770413155,9.04793908261736
0,1,0,0,1.0986122886681098,4.795790545596741,8.160803920954665
0,0,1,0,0.6931471805599453,3.6109179126442243,7.0909098220799835
1,0,0,0,1.6094379124341003,4.795790545596741,7.824445930877619
1,0,0,0,1.3862943611198906,5.303304908059076,8.294299608857235
0,0,1,0,1.6094379124341003,6.364750756851911,9.61587214452889
0,1,0,0,1.3862943611198906,5.25227342804663,8.24301946898925
0,1,0,0,0.6931471805599453,3.713572066704308,6.2166061010848646
0,1,0,0,1.0986122886681098,4.330733340286331,7.346655163176539
0,0,1,0,0.6931471805599453,3.912023005428146,6.7464121285733745
0,0,1,0,1.3862943611198906,5.198497031265826,8.160803920954665
0,0,1,0,1.0986122886681098,6.55250788703459,9.210440366976517
0,0,1,0,1.3862943611198906,4.110873864173311,6.803505257608338
0,0,0,1,1.0986122886681098,5.958424693029782,9.90353755128617
0,0,0,1,1.791759469228055,6.2166061010848646,8.853808274977197
0,0,0,1,1.791759469228055,6.90875477931522,10.757924157061597
0,0,1,0,1.0986122886681098,5.860786223465865,9.210440366976517
1,0,0,0,1.0986122886681098,4.394449154672439,7.3783837129967145
0,0,0,1,1.0986122886681098,4.394449154672439,7.601402334583733
1,0,0,0,1.3862943611198906,5.69035945432406,8.160803920954665
1,0,0,0,0.6931471805599453,2.3978952727983707,6.68586094706836
1,0,0,0,1.0986122886681098,4.110873864173311,7.170888478512505
0,0,1,0,0.6931471805599453,3.828641396489095,7.208600337960199
0,1,0,0,1.791759469228055,6.621405651764134,8.665785595466064
1,0,0,0,1.0986122886681098,4.795790545596741,6.803505257608338
0,1,0,0,1.0986122886681098,3.8918202981106265,6.825460036255307
0,0,0,1,1.791759469228055,6.621405651764134,10.239995502805316
0,1,0,0,1.0986122886681098,5.303304908059076,7.3783837129967145
0,0,0,1,1.6094379124341003,5.6937321388027,9.392745258631441
0,0,1,0,1.0986122886681098,4.477336814478207,7.0909098220799835
0,0,1,0,1.0986122886681098,6.16541785423142,9.90353755128617
0,0,1,0,1.0986122886681098,5.25227342804663,7.972810784121404
0,1,0,0,1.791759469228055,4.454347296253507,7.550135342488429
1,0,0,0,1.0986122886681098,4.795790545596741,7.170888478512505
0,0,1,0,1.0986122886681098,5.231108616854587,9.392745258631441
0,0,1,0,1.0986122886681098,4.709530201312334,7.601402334583733
0,0,1,0,0.6931471805599453,2.833213344056216,6.111467339502679
1,0,0,0,1.0986122886681098,5.241747015059643,8.853808274977197
1,0,0,0,0.6931471805599453,3.9318256327243257,6.175867270105761
0,0,1,0,1.0986122886681098,6.16541785423142,9.90353755128617
1,0,0,0,0.6931471805599453,3.713572066704308,6.53813982376767
0,1,0,0,1.0986122886681098,3.9318256327243257,6.898714534329988
0,0,1,0,1.0986122886681098,4.276666119016055,7.170888478512505
0,0,1,0,1.3862943611198906,5.707110264748875,9.392745258631441
0,0,1,0,0.6931471805599453,3.4339872044851463,6.803505257608338
1,0,0,0,0.6931471805599453,3.828641396489095,7.208600337960199
0,1,0,0,1.3862943611198906,4.110873864173311,6.803505257608338
0,1,0,0,1.0986122886681098,4.51085950651685,6.85751406254539
1,0,0,0,1.3862943611198906,4.51085950651685,7.496097345175956
1,0,0,0,0.6931471805599453,4.2626798770413155,6.68586094706836
1,0,0,0,1.0986122886681098,4.795790545596741,7.00397413672268
0,1,0,0,1.0986122886681098,4.110873864173311,7.601402334583733
1,0,0,0,0.6931471805599453,3.7612001156935624,6.8885724595653635
0,0,1,0,1.0986122886681098,4.143134726391533,7.170888478512505
0,0,1,0,1.0986122886681098,5.062595033026967,8.412054873292933
1,0,0,0,1.0986122886681098,3.9318256327243257,7.0909098220799835
1,0,0,0,1.0986122886681098,4.110873864173311,6.621405651764134
0,0,0,1,1.0986122886681098,4.248495242049359,7.901377353792616
1,0,0,0,1.3862943611198906,4.962844630259907,7.741099090035366
0,0,1,0,1.6094379124341003,6.621405651764134,9.546884034617925
1,0,0,0,0.6931471805599453,0.6931471805599453,6.478509642208569
0,1,0,0,1.0986122886681098,4.394449154672439,7.496097345175956
0,1,0,0,1.0986122886681098,4.394449154672439,7.048386408721883
0,0,0,1,1.791759469228055,6.274762021241939,9.392745258631441
1,0,0,0,1.0986122886681098,5.017279836814924,6.7464121285733745
0,1,0,0,0.6931471805599453,3.58351893845611,6.55250788703459
0,0,0,1,1.0986122886681098,4.110873864173311,7.438971592395862
0,1,0,0,1.0986122886681098,4.564348191467836,7.550135342488429
1,0,0,0,0.6931471805599453,3.713572066704308,6.478509642208569
1,0,0,0,1.0986122886681098,5.303304908059076,8.071218539969863
0,0,1,0,0.6931471805599453,5.1647859739235145,8.612685172875459
1,0,0,0,0.6931471805599453,3.8066624897703196,7.00397413672268
1,0,0,0,1.3862943611198906,4.30406509320417,7.313886831633462
0,0,1,0,1.0986122886681098,5.8888779583328805,9.488047863280759
0,0,1,0,1.3862943611198906,5.683579767338681,9.04793908261736
0,0,1,0,1.6094379124341003,6.415096959171596,10.12667110305036
1,0,0,0,1.791759469228055,6.52649485957079,10.12667110305036
0,0,0,1,1.6094379124341003,5.484796933490655,7.824445930877619
0,0,0,1,0.6931471805599453,3.4339872044851463,6.398594934535208
0,1,0,0,1.0986122886681098,4.2626798770413155,7.496097345175956
1,0,0,0,1.3862943611198906,6.398594934535208,8.853808274977197
0,1,0,0,1.3862943611198906,4.875197323201151,7.824445930877619
0,0,1,0,0.6931471805599453,3.7612001156935624,6.90875477931522
0,0,0,1,0.6931471805599453,3.1780538303479458,7.1316985104669115
0,0,0,1,1.3862943611198906,3.828641396489095,6.90875477931522
1,0,0,0,0.6931471805599453,3.828641396489095,7.0909098220799835
0,0,0,1,1.3862943611198906,5.081404364984463,7.901377353792616
1,0,0,0,1.3862943611198906,4.795790545596741,7.601402334583733
